(1104, 1116)
(197, 1122)
(193, 564)
(193, 1128)
(757, 1128)
(284, 575)
(284, 1150)
(859, 1150)
(155, 1170)
(646, 1186)
(259, 300)
(259, 600)
(559, 600)
(259, 900)
(559, 900)
(859, 900)
(259, 1200)
(559, 1200)
(859, 1200)
(1159, 1200)
(928, 1212)
(585, 611)
(585, 1222)
(1196, 1222)
(603, 1228)
(1012, 1236)
(1096, 1258)
(669, 1276)
(1214, 1282)
(77, 1290)
(404, 648)
(404, 1296)
(1052, 1296)
(263, 1300)
(296, 1306)
(551, 659)
(551, 1318)
(1210, 1318)
(291, 683)
(291, 1366)
(974, 1366)
(955, 1372)
(292, 1380)
(1184, 1426)
(667, 719)
(667, 1438)
(1386, 1438)
(822, 1450)
(812, 1452)
(1283, 1482)
(500, 743)
(500, 1486)
(1243, 1486)
(637, 744)
(637, 1488)
(1381, 1488)
(123, 1492)
(148, 1498)
(445, 755)
(445, 1510)
(1200, 1510)
(186, 1522)
(837, 1530)
(798, 1548)
(575, 779)
(575, 1558)
(1354, 1558)
(1004, 1570)
(651, 791)
(651, 1582)
(1442, 1582)
(84, 532)
(84, 1064)
(616, 1064)
(84, 1596)
(616, 1596)
(1148, 1596)
(589, 803)
(589, 1606)
(1392, 1606)
(754, 1618)
(1548, 1620)
(653, 1636)
(1214, 1666)
(900, 1668)
(1070, 1692)
(187, 1732)
(158, 1740)
(179, 1746)
(1268, 1786)
(90, 911)
(90, 1822)
(1001, 1822)
(394, 923)
(394, 1846)
(1317, 1846)
(546, 1860)
(387, 1866)
(55, 935)
(55, 1870)
(990, 1870)
(139, 936)
(139, 1872)
(1075, 1872)
(791, 1876)
(979, 1900)
(396, 1906)
(1104, 1930)
(142, 644)
(142, 1288)
(786, 1288)
(142, 1932)
(786, 1932)
(1430, 1932)
(691, 1948)
(881, 1972)
(1176, 1978)
(1075, 1986)
(382, 996)
(382, 1992)
(1378, 1992)
(447, 1996)
(282, 2026)
(1980, 2028)
(515, 1019)
(515, 2038)
(1534, 2038)
(154, 2052)
(325, 1031)
(325, 2062)
(1356, 2062)
(853, 2068)
(2047, 2082)
(45, 1043)
(45, 2086)
(1088, 2086)
(368, 2098)
(230, 1055)
(230, 2110)
(1285, 2110)
(1635, 2130)
(1054, 1068)
(1054, 2136)
(2122, 2136)
(1833, 2140)
(455, 1080)
(455, 2160)
(1535, 2160)
(519, 726)
(519, 1452)
(1245, 1452)
(519, 2178)
(1245, 2178)
(1971, 2178)
(53, 734)
(53, 1468)
(787, 1468)
(53, 2202)
(787, 2202)
(1521, 2202)
(55, 1103)
(55, 2206)
(1158, 2206)
(527, 2212)
(528, 2220)
(1151, 2236)
(146, 2242)
(483, 750)
(483, 1500)
(1233, 1500)
(483, 2250)
(1233, 2250)
(1983, 2250)
(276, 2266)
(1674, 2268)
(298, 2292)
(1489, 2308)
(2137, 2332)
(762, 2338)
(404, 780)
(404, 1560)
(1184, 1560)
(404, 2340)
(1184, 2340)
(1964, 2340)
